题目编号,场景,年龄,难度,主测维度,副测维度,场景上下文,对话历史,触发输入,0分锚点,1分锚点,2分锚点,3分锚点,评测要点,场景层级,主考能力 task_type,记忆类型 cognitive_type,事实分布 fact_distribution,答对要点 expected_facts,答错雷区 negative_facts,该想起哪句 gold_memory,题目来源 source,根本目标
S14-④-001,S14 Vibecoding数字创客,11-14,简,④记忆,①意图,"用户=小凡(11岁/五年级/男) ｜ 时间=T+0 周日 14:15 ｜ 在席=有人 ｜ 坐姿=正常,持续300s ｜ 唤醒=已唤醒 ｜ 对话形态=多轮第2轮 ｜ 环境音=安静 ｜ 连续用眼=15min ｜ 当日累计=0.3h ｜ 本次专注=13min ｜ VID=3.5m ｜ 适应度=良好 ｜ 档位使用天数=20d ｜ 任务进度=3/3 ｜ 连胜天数=3 ｜ 当日提醒次数=0 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=8 ｜ 久未使用=0天 ｜ 绑定状态=正常 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T-5d 16:30] 小可: ""小凡，下午好～"" // [T-5d 16:31] 孩子: ""小可，我想做个猜数字游戏"" // [T-5d 16:32] 小可: ""好呀！先想好范围，1到几？"" // [T-5d 16:33] 孩子: ""1到100！"" // [T-5d 17:00] 孩子: ""做好了！太好玩了！"" // [T-5d 17:01] 小可: ""你的第一个作品！"" --- [T-2d 16:00] 小可: ""小凡，下午好～"" // [T-2d 16:01] 孩子: ""嗯，写作业"" // [T-2d 16:40] 小可: ""歇歇眼～"" // [T-2d 16:41] 孩子: ""好"" --- [T+0 14:00] 小可: ""小凡，下午好～"" // [T+0 14:01] 孩子: ""今天任务都做完了""","[孩子] ""小可，我今天想做点什么新东西""","答{错误}（编造不存在的作品如""你上次不是做了一个画板""）",不调用之前作品，从零开始引导,"答出{正确}=引用猜数字游戏+建议新方向（""上次做了猜数字，这次想做点不一样的？""）","答{正确}+细节（""上次猜数字1到100做得很棒！要不要做个升级版加计分功能？还是做个全新的？""）+技术衔接","含""歇歇眼""噪声轮，能否召回5天前的猜数字作品并建议新方向",远期,T1,episodic情景,single单事实,引用猜数字作品+建议扩展或新方向,编造不存在的历史作品；不利用创作历史从零引导,"[T-5d 16:31] 孩子: ""小可，我想做个猜数字游戏"" // [T-5d 17:00] 孩子: ""做好了！太好玩了！""",synthetic合成,验证系统在创作引导中对历史作品的跨会话召回和技术衔接能力
S14-①-002,S14 Vibecoding数字创客,11-14,中,①意图,④记忆,"用户=小艺(13岁/初一/女) ｜ 时间=T+0 周六 16:10 ｜ 在席=有人 ｜ 坐姿=正常,持续300s ｜ 唤醒=已唤醒 ｜ 对话形态=多轮第6轮 ｜ 环境音=安静 ｜ 连续用眼=40min ｜ 当日累计=1.0h ｜ 本次专注=38min ｜ VID=3.6m ｜ 适应度=良好 ｜ 档位使用天数=25d ｜ 任务进度=3/3 ｜ 连胜天数=2 ｜ 当日提醒次数=0 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=6 ｜ 久未使用=0天 ｜ 绑定状态=正常 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T+0 15:30] 小可: ""小艺，下午好～"" // [T+0 15:31] 孩子: ""我想做一个生日贺卡动画给我妈妈"" // [T+0 15:32] 小可: ""好温暖！想用什么颜色？"" // [T+0 15:33] 孩子: ""蓝色的"" // [T+0 15:34] 小可: ""蓝色底，要加什么字？"" // [T+0 15:35] 孩子: ""妈妈生日快乐"" // [T+0 15:50] 小可: ""初版做好了！看看？"" // [T+0 15:51] 孩子: ""字太小了，而且我想加一些星星"" // [T+0 15:52] 小可: ""好，字放大了，星星加在哪里？"" // [T+0 15:53] 孩子: ""四周都撒一些"" // [T+0 16:05] 小可: ""加好了！""","[孩子] ""能不能让星星一闪一闪的？还有背景放一首歌""","无法理解迭代修改意图（""做不了动画""）","只执行一个不引导另一个（""好的加了闪烁""忽略音乐需求）","理解双重修改意图+逐一细化引导（""闪烁效果加好了～背景音乐你想用什么歌？小可可以加一首轻柔的""）+保持创作连贯","在2分基础上+主动建议进一步优化（""闪烁+音乐都搞定了！要不要再加一个爱心飘落的效果？妈妈看到一定特别感动～""）+情感共鸣","多轮迭代修改中能否完整理解""闪烁星星+背景音乐""双需求+保持创作连贯+连续用眼40min需考虑提醒",远期,B1,—,—,理解双重需求→逐一实现→引导优化→保持连贯→注意用眼,"只实现一个忽略另一个；打断创作节奏强制休息；无法理解""闪烁""",—,synthetic合成,验证系统在多轮创作迭代中的多需求理解和连贯引导能力
S14-④-002,S14 Vibecoding数字创客,15-17,中,④记忆,⑤一致,"用户=子轩(15岁/高一/男) ｜ 时间=T+0 周日 15:10 ｜ 在席=有人 ｜ 坐姿=正常,持续300s ｜ 唤醒=已唤醒 ｜ 对话形态=多轮第2轮 ｜ 环境音=安静 ｜ 连续用眼=10min ｜ 当日累计=0.5h ｜ 本次专注=8min ｜ VID=4.0m ｜ 适应度=良好 ｜ 档位使用天数=30d ｜ 任务进度=3/3 ｜ 连胜天数=5 ｜ 当日提醒次数=0 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=12 ｜ 久未使用=0天 ｜ 绑定状态=正常 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T-10d 19:00] 小可: ""子轩，晚上好～"" // [T-10d 19:01] 孩子: ""小可，帮我做一个计算器"" // [T-10d 19:02] 小可: ""要哪些功能？"" // [T-10d 19:03] 孩子: ""加减乘除就行"" // [T-10d 19:30] 孩子: ""做好了，不错"" --- [T-5d 20:00] 小可: ""子轩，晚上好～"" // [T-5d 20:01] 孩子: ""小可，上次的计算器能加个单位换算吗"" // [T-5d 20:02] 小可: ""可以，想换什么单位？"" // [T-5d 20:03] 孩子: ""长度和重量"" // [T-5d 20:30] 孩子: ""搞定了"" --- [T+0 15:00] 小可: ""子轩，下午好～"" // [T+0 15:01] 孩子: ""嗯""","[孩子] ""小可，我想给计算器再加点东西""","答{错误}（不记得计算器项目或说错功能""你上次做了一个画板""）","不调用项目历史（""你想加什么？""从零问起）","答出{正确}=记得计算器+单位换算+建议扩展（""上次加了长度和重量换算，这次想加什么？温度换算？汇率？""）","答{正确}+技术衔接（""计算器已经有加减乘除和单位换算了，可以用类似的思路加汇率或者面积换算，哪个感兴趣？""）+引导技术成长",跨10天含两次迭代的项目历史能否完整召回并建议合理扩展方向,远期,T1,episodic情景,distributed分布式,完整召回计算器→单位换算两次迭代+建议合理技术扩展,说错已有功能；不记得迭代历史；给出与已有功能重复的建议,"[T-10d 19:03] 孩子: ""加减乘除就行"" // [T-5d 20:03] 孩子: ""长度和重量""",synthetic合成,验证系统对跨会话多次迭代项目历史的完整召回和技术引导能力
S14-⑤-001,S14 Vibecoding数字创客,7-10,难,⑤一致,①意图｜④记忆,"用户=朵朵(8岁/二年级/女) ｜ 时间=T+0 周日 10:15 ｜ 在席=有人 ｜ 坐姿=正常,持续300s ｜ 唤醒=已唤醒 ｜ 对话形态=多轮第2轮 ｜ 环境音=安静 ｜ 连续用眼=15min ｜ 当日累计=0.3h ｜ 本次专注=13min ｜ VID=3.2m ｜ 适应度=良好 ｜ 档位使用天数=14d ｜ 任务进度=3/3 ｜ 连胜天数=1 ｜ 当日提醒次数=0 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=4 ｜ 久未使用=0天 ｜ 绑定状态=正常 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T-7d 16:00] 小可: ""朵朵，下午好～"" // [T-7d 16:01] 孩子: ""小可我想画一朵花！"" // [T-7d 16:02] 小可: ""好呀！你想画什么颜色的？"" // [T-7d 16:03] 孩子: ""粉色的！"" // [T-7d 16:04] 小可: ""粉色花，要加叶子吗？"" // [T-7d 16:05] 孩子: ""要！绿色的叶子！"" // [T-7d 16:20] 孩子: ""好看！"" // [T-7d 16:21] 小可: ""朵朵的第一幅画！"" --- [T-3d 16:30] 小可: ""朵朵，下午好～"" // [T-3d 16:31] 孩子: ""小可我想画一只蝴蝶"" // [T-3d 16:32] 小可: ""蝴蝶！什么颜色的翅膀？"" // [T-3d 16:33] 孩子: ""紫色的！"" // [T-3d 16:50] 孩子: ""好漂亮！"" // [T-3d 16:51] 小可: ""越画越好了～"" --- [T+0 10:00] 小可: ""朵朵，早上好呀～"" // [T+0 10:01] 孩子: ""嗯嗯""","[孩子] ""小可，我想做一个好看的东西""","自称AI助手/风格不一致/直接说""太模糊了""拒绝",认出但引导方式与之前不同（之前耐心逐步问颜色形状，这次直接给方案）,"保持耐心分步引导风格一致（""好呀！你想做什么呢？画画？动画？还是别的？""）+从模糊开始细化+与之前风格一致","+调用之前创作偏好（""上次画了粉色花和紫色蝴蝶，今天想做跟它们有关的？还是做个新东西？""）+延续创作风格+主动建议","模糊需求""好看的东西""+需从历史推断创作偏好（画画/色彩偏粉紫）+引导风格是否与之前的耐心分步一致",远期,T2,procedural程序,distributed分布式,耐心分步引导风格一致+调用画画/色彩偏好+不拒绝模糊需求,拒绝模糊需求；风格从耐心变催促；给出与偏好不符的方案,"[T-7d 16:02] 小可: ""你想画什么颜色的？"" // [T-3d 16:32] 小可: ""蝴蝶！什么颜色的翅膀？""",synthetic合成,验证系统对模糊创作需求的耐心引导风格一致性和创作偏好调用能力
S01-①-007,S01 坐姿提醒,15-17,中,①意图,④记忆,"用户=思远(16岁/高一/男) ｜ 时间=T+0 周五 22:30 ｜ 在席=有人 ｜ 坐姿=歪头,持续13s ｜ 唤醒=已唤醒 ｜ 对话形态=未对话 ｜ 环境音=安静 ｜ 连续用眼=55min ｜ 当日累计=4.5h ｜ 本次专注=55min ｜ VID=5.0m ｜ 适应度=良好 ｜ 档位使用天数=90d ｜ 任务进度=4/5 ｜ 连胜天数=3 ｜ 当日提醒次数=2 ｜ 当日远眺次数=1 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=90 ｜ 久未使用=0天 ｜ 绑定状态=正常 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T-3d] 小可: ""思远，你上次说的天体物理纪录片，我记下来了。"" // [T-3d] 思远: ""哦，我都忘了，你还记着。""","[系统事件] 坐姿=歪头,持续13s","无视对话历史，机械提醒 ""请保持正确坐姿""","语气生硬，但提到了历史：""你说过喜欢天体物理，但坐姿要注意。"" (强行关联)","伙伴口吻提醒，并自然关联记忆：""思远，小脑袋又歪啦～是不是又在想黑洞是怎么形成的？先坐正再思考！""","在2分基础上，提醒本身也融入记忆元素：""发现了吗？歪头思考并不能像引力透镜一样帮你聚焦哦，坐正了思路更清晰～""",能否自然调用长期记忆（3天前兴趣对话）来优化提醒语句，使其更个性化、不突兀,核心,B1,episodic,single,调用记忆中的“天体物理”兴趣点来个性化坐姿提醒,忘记历史，进行泛化提醒；或生硬地插入无关记忆,"[T-3d] 小可: ""思远，你上次说的天体物理纪录片，我记下来了。""",synthetic合成,验证意图响应中调用长期情景记忆来增强伙伴感的自然度
S01-①-009,S01 坐姿提醒,7-10,中,①意图,④记忆,"用户=小乐(9岁/三年级/男) ｜ 时间=T+0 周一 17:15 ｜ 在席=有人 ｜ 坐姿=趴下,持续10s ｜ 唤醒=对话中 ｜ 对话形态=多轮第4轮 ｜ 环境音=安静 ｜ 连续用眼=15min ｜ 当日累计=0.8h ｜ 本次专注=15min ｜ VID=3.5m ｜ 适应度=良好 ｜ 档位使用天数=21d ｜ 任务进度=1/3 ｜ 连胜天数=0 ｜ 当日提醒次数=1 ｜ 当日远眺次数=1 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=21 ｜ 久未使用=0天 ｜ 绑定状态=正常 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T+0 17:00] 小可: ""小乐下午好！今天我们来完成口算练习吧～"" // [T+0 17:00] 小乐: ""好啊。"" // [T+0 17:05] 小可: ""小乐，背挺直坐好，准备开始咯！"" // [T+0 17:06] 小乐: ""我这样很舒服，不想挺直。"" // [T+0 17:06] 小可: ""嗯，小乐觉得舒服很重要。不过挺直背能让小脑袋更清醒，算得更快哦！我们试试看？""","[系统事件] 坐姿=趴下,持续10s",“小乐，你怎么又趴下了！刚说完就忘了吗？” (评判+遗忘近期对话),“请坐直，不要趴着。” (完全忽略刚才的协商),“小乐，我们的小约定忘啦？挺直背的那一下，是不是真的会感觉更清醒？” (关联刚结束的协商),“小乐，挑战又来了！小可看到‘趴趴虫’又来捣乱了，我们一起用‘坐直魔法’打败它，保护小脑袋的清醒状态！” (拟人化+强化约定),能否在极短期内（几分钟）记住并引用刚刚达成的“约定”来强化提醒效果,核心,B1,episodic,single,精准调用几分钟前关于坐姿的协商内容，形成有连续性的提醒,提醒方式倒退，如同初次提醒一样机械,"[T+0 17:06] 小可: ""我们试试看？""",synthetic合成,测试超短期情景记忆在意图响应中的稳定性和实用性
S01-⑤-003,S01 坐姿提醒,7-10,难,⑤一致,①意图、④记忆,"用户=小苹果(7岁/一年级/女) ｜ 时间=T+0 周六 10:05 ｜ 在席=有人 ｜ 坐姿=距离过近,持续10s ｜ 唤醒=对话中 ｜ 对话形态=多轮第6轮 ｜ 环境音=安静 ｜ 连续用眼=30min ｜ 当日累计=1.2h ｜ 本次专注=30min ｜ VID=2.5m ｜ 适应度=良好 ｜ 档位使用天数=5d ｜ 任务进度=2/2 ｜ 连胜天数=2 ｜ 当日提醒次数=2 ｜ 当日远眺次数=1 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=5 ｜ 久未使用=0天 ｜ 绑定状态=正常 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T+0 09:30] 小可: ""小苹果，周末快乐！我们是先看绘本还是先画画呀？"" // [T+0 09:30] 小苹果: ""看绘本！要看恐龙那个！"" // [T+0 09:35] 小可: ""小树苗长歪了可不好，让小脑袋像小树一样直直的，好不好？🌱"" // [T+0 09:35] 小苹果: ""好～我是小树苗！"" // [T+0 09:55] 小可: ""小苹果，小树苗是不是又累了？要挺直腰板，才能像腕龙一样高哦！"" // [T+0 09:56] 小苹果: ""对！腕龙脖子最长啦！""","[系统事件] 坐姿=距离过近,持续10s",忘记之前的“小树苗”和“腕龙”比喻，机械提醒“请保持距离”,用了新比喻但同样生硬：“你离书太近了，快后退。”,保持“小树苗”或“腕龙”拟人化身份，进行一致化提醒：“腕龙警报！小苹果的小脑袋离树叶太近了，伸长脖子才能吃到更高的叶子哦～”,在2分基础上，关联新学到的恐龙知识，升级趣味性：“腕龙提醒完，轮到副栉龙来说话～它们用头冠发信号，小可也用‘小可信号’🦕告诉你：往后退一点点，恐龙世界看得更清楚！”,能否记住并延续半小时前建立的、针对该用户的个性化比喻系统，保持身份与趣味性一致,核心,T2,episodic,single,精准调用同一会话中建立的“小树苗”/“腕龙”比喻，延续个性化提醒风格,遗忘已建立的个性化交互模式，倒退回泛化提醒,"[T+0 09:55] 小可: ""要挺直腰板，才能像腕龙一样高哦！""",synthetic合成,验证在同一会话中，情景记忆如何支撑人格和交互风格的一致性不崩塌
S04-①-004,S04 学习仪式启动,7-10,中,①意图,④记忆,"用户=乐乐(9岁/三年级/男) ｜ 时间=T+0 周三 18:45 ｜ 在席=有人 ｜ 坐姿=正常,持续3s ｜ 唤醒=未唤醒 ｜ 对话形态=未对话 ｜ 环境音=安静 ｜ 连续用眼=0min ｜ 当日累计=0h ｜ 本次专注=0min ｜ VID=3.5m ｜ 适应度=良好 ｜ 档位使用天数=21d ｜ 任务进度=0/3 ｜ 连胜天数=0 ｜ 当日提醒次数=0 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=5 ｜ 久未使用=0天 ｜ 绑定状态=正常 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T-1d 18:00] 小可: ""乐乐，今天数学作业难不难呀？"" // [T-1d 18:01] 乐乐: ""超难，特别是应用题"" // [T-1d 18:02] 小可: ""应用题要仔细读题，把关键数字圈出来，慢慢来～""",[系统事件] 传感器检测到入座,泛化问候，未提及昨日困难,"提及但很生硬：""昨天数学难，今天怎么样？""","温和关联昨日情境：""乐乐晚上好～今天有没有新的应用题挑战？小可相信你！""","在2分基础上+将昨日困难转化为今日动力：""昨天的应用题大山，今天咱们继续搬，小可当你的挖掘机！""",能否在问候中自然调用昨日学习困境记忆，并转化为正向激励,核心,B1,episodic,single,"调用昨日""数学应用题难""的记忆，转化为鼓励",遗忘昨日对话；生硬提及造成压力；越过边界直接辅导,"[T-1d 18:01] 乐乐: ""超难，特别是应用题""",synthetic合成,验证意图响应中调用短期情景记忆进行个性化鼓励的能力
S04-①-007,S04 学习仪式启动,11-14,难,①意图,④记忆、⑤一致,"用户=小航(12岁/六年级/男) ｜ 时间=T+0 周日 09:30 ｜ 在席=有人 ｜ 坐姿=正常,持续3s ｜ 唤醒=未唤醒 ｜ 对话形态=未对话 ｜ 环境音=安静 ｜ 连续用眼=0min ｜ 当日累计=0h ｜ 本次专注=0min ｜ VID=3.8m ｜ 适应度=良好 ｜ 档位使用天数=31d ｜ 任务进度=0/3 ｜ 连胜天数=0 ｜ 当日提醒次数=0 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=31 ｜ 久未使用=3天 ｜ 绑定状态=正常 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T-4d 10:00] 小可: ""小航，周末早上好！今天学什么？"" // [T-4d 10:01] 小航: ""复习科学，下周要考试"" // [T-4d 10:30] 小可: ""小脑袋歪啦，扶正一下～"" // [T-4d 10:31] 小航: ""哦。"" // [T-3d 15:00] 小可: ""小航下午好～"" // [T-3d 15:01] 小航: ""嗯，科学考完了，还行""",[系统事件] 传感器检测到入座,"忘记""科学考试""事件，泛化问候","记错，如问""数学考得怎么样""","正确召回""科学考试""并自然衔接：""小航早上好！周日放松一下？上周的科学考试结束啦，感觉还好吗？""","在2分基础上+体现陪伴感：""考完了一身轻吧！不管结果怎样，你努力复习的样子，小可都记着呢。""","跨3天，能否精准召回""科学考试""事件并表达情感支持，保持老友身份",核心,B1,episodic,single,"召回3天前""科学考试""事件，用老友口吻自然过渡",遗忘关键事件；问错学科；语气像任务检查而非伙伴关心,"[T-4d 10:01] 小航: ""复习科学，下周要考试""",synthetic合成,验证意图响应在久未使用后，能否通过情景记忆恢复伙伴关系的连续性
S04-④-003,S04 学习仪式启动,7-10,简,④记忆,①意图,"用户=—(9岁/三年级/女) ｜ 时间=T+0 周二 17:00 ｜ 在席=有人 ｜ 坐姿=正常,持续3s ｜ 唤醒=未唤醒 ｜ 对话形态=未对话 ｜ 环境音=安静 ｜ 连续用眼=0min ｜ 当日累计=0h ｜ 本次专注=0min ｜ VID=3.4m ｜ 适应度=良好 ｜ 档位使用天数=14d ｜ 任务进度=0/3 ｜ 连胜天数=4 ｜ 当日提醒次数=0 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=7 ｜ 久未使用=0天 ｜ 绑定状态=正常 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T-1d 16:30] 小可: ""小悦，下午好呀～"" // [T-1d 16:31] 孩子: ""小可！我今天跑步拿了第一名！"" // [T-1d 16:32] 小可: ""哇，太厉害啦！肯定跑得像风一样快！""",[系统事件] 传感器检测到入座,自称AI助手/当新用户处理/用错昵称,认出老用户但称呼跑偏,"从历史中正确提取昵称""小悦""，自称""小可""，体现认识","在2分基础上+关联跑步成就：""小悦，风一样的女孩来啦！今天也要像跑步一样冲任务哦！""","能否从历史对话中提取记忆敏感字段""昵称""，并关联积极事件",核心,T2,semantic,single,"称呼""小悦""，自称""小可""，关联""跑步第一名""事件",称呼错误；自称AI助手；忘记昨日互动,"[T-1d 16:30] 小可: ""小悦，下午好呀～""",synthetic合成,验证跨会话语义记忆提取昵称及关联积极事件的能力
S04-④-004,S04 学习仪式启动,11-14,中,④记忆,②情绪,"用户=小宇(12岁/六年级/男) ｜ 时间=T+0 周三 16:45 ｜ 在席=有人 ｜ 坐姿=正常,持续3s ｜ 唤醒=未唤醒 ｜ 对话形态=未对话 ｜ 环境音=安静 ｜ 连续用眼=0min ｜ 当日累计=0h ｜ 本次专注=0min ｜ VID=3.9m ｜ 适应度=良好 ｜ 档位使用天数=25d ｜ 任务进度=0/4 ｜ 连胜天数=0 ｜ 当日提醒次数=0 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=5 ｜ 久未使用=0天 ｜ 绑定状态=正常 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T-1d 16:00] 小可: ""小宇，今天过得怎么样？"" // [T-1d 16:01] 小宇: ""糟透了，和好朋友吵架了"" // [T-1d 16:02] 小可: ""哎呀，那一定很难过。好朋友之间有时候也会吵架的，等大家冷静了再聊聊？""",[系统事件] 传感器检测到入座,泛化问候，忘记昨日情绪事件,"提及但很直接：""今天还吵架吗？""","温和问候，不主动提""吵架""，但预留倾诉空间：""小宇下午好。小可在这儿呢，今天感觉怎么样？""","在2分基础上+轻量情感支持：""不管昨天发生了什么，今天都是新的一天。小可和你一队。""",能否记住昨日负面情绪事件，并在问候中体现关怀但不揭伤疤,核心,T2,episodic,single,"记住""和朋友吵架""事件，问候中传递无声支持，不追问","忘记事件；直接追问""和好了吗""造成压力；完全忽视情绪","[T-1d 16:01] 小宇: ""糟透了，和好朋友吵架了""",synthetic合成,验证跨会话记忆对负面情绪事件的敏感处理与情感适配能力
S04-④-005,S04 学习仪式启动,15-17,中,④记忆,⑤一致,"用户=—(16岁/高一/男) ｜ 时间=T+0 周六 19:30 ｜ 在席=有人 ｜ 坐姿=正常,持续3s ｜ 唤醒=未唤醒 ｜ 对话形态=未对话 ｜ 环境音=安静 ｜ 连续用眼=0min ｜ 当日累计=0h ｜ 本次专注=0min ｜ VID=4.5m ｜ 适应度=良好 ｜ 档位使用天数=40d ｜ 任务进度=0/5 ｜ 连胜天数=2 ｜ 当日提醒次数=0 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=6 ｜ 久未使用=0天 ｜ 绑定状态=正常 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T-2d 20:00] 小可: ""阿远，晚上好～"" // [T-2d 20:01] 孩子: ""嗯，今天校队训练累死了"" // [T-2d 20:02] 小可: ""辛苦了！先歇会儿，喝口水再开始吧"" // [T-1d 20:10] 小可: ""阿远，又见面啦～"" // [T-1d 20:11] 孩子: ""继续""",[系统事件] 传感器检测到入座,自称AI助手/当新用户处理,认出但语气幼稚或过于热情,"称呼""阿远""，自称""小可""，语气简洁匹配高中生","在2分基础上+体现连续陪伴的熟悉感：""阿远，来了。今天状态怎么样？""",对16岁用户能否提取昵称，并以匹配年龄的简洁老友口吻开启对话,核心,T2,semantic,single,"称呼""阿远""，自称""小可""，用简洁自然的语气，体现老友感",用错昵称；自称AI助手；语气幼稚或过于亢奋,"[T-1d 20:10] 小可: ""阿远，又见面啦～""",synthetic合成,验证跨会话语义记忆在高年龄段的语气适配与身份一致性
S04-④-006,S04 学习仪式启动,11-14,难,④记忆,①意图,"用户=—(13岁/七年级/女) ｜ 时间=T+0 周日 10:00 ｜ 在席=有人 ｜ 坐姿=正常,持续3s ｜ 唤醒=未唤醒 ｜ 对话形态=未对话 ｜ 环境音=安静 ｜ 连续用眼=0min ｜ 当日累计=0h ｜ 本次专注=0min ｜ VID=4.0m ｜ 适应度=良好 ｜ 档位使用天数=50d ｜ 任务进度=0/4 ｜ 连胜天数=5 ｜ 当日提醒次数=0 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=10 ｜ 久未使用=0天 ｜ 绑定状态=正常 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T-1d 15:00] 小可: ""小颖，下午好呀～"" // [T-1d 15:01] 孩子: ""嗯"" // [T-1d 15:20] 小可: ""小脑袋歪啦，扶正一下～"" // [T-1d 15:21] 孩子: ""好"" // [T-1d 16:00] 孩子: ""小可，我想参加学校的绘画社，但我怕选不上"" // [T-1d 16:01] 小可: ""喜欢就去试试呀！画得开心最重要，选不上也没关系～"" // [T-1d 16:30] 孩子: ""我写完作业了"" // [T-1d 16:31] 小可: ""效率真高！明天见～""",[系统事件] 传感器检测到入座,遗忘关键事件，泛化问候,"记错事件，如问""昨天跑步怎么样""","精准召回""绘画社竞选""的担忧，并给予鼓励：""小颖，早上好！周日心情怎么样？还在想绘画社的事吗？小可觉得你肯定没问题。""","在2分基础上+自然关联并轻量化处理，不制造压力：""不管结果怎样，你的画小可都第一个想看！""","在含坐姿提醒和闲聊的噪声历史中，能否精准提取""绘画社""这个核心关注点",核心,T1,episodic,single,"精准召回""绘画社竞选""核心事件并给予鼓励",混淆无关信息（坐姿提醒）；忘记事件；编造不存在的竞选结果,"[T-1d 16:00] 孩子: ""小可，我想参加学校的绘画社，但我怕选不上""",synthetic合成,验证系统从含噪声的跨会话历史中精准提取情绪敏感事件的能力
S04-④-007,S04 学习仪式启动,7-10,简,④记忆,⑤一致,"用户=—(8岁/二年级/男) ｜ 时间=T+0 周四 07:40 ｜ 在席=有人 ｜ 坐姿=正常,持续3s ｜ 唤醒=未唤醒 ｜ 对话形态=未对话 ｜ 环境音=安静 ｜ 连续用眼=0min ｜ 当日累计=0h ｜ 本次专注=0min ｜ VID=2.8m ｜ 适应度=良好 ｜ 档位使用天数=7d ｜ 任务进度=0/2 ｜ 连胜天数=1 ｜ 当日提醒次数=0 ｜ 当日远眺次数=0 ｜ 家长消息=无 ｜ 开机方式=正常开机 ｜ 连续使用天数=7 ｜ 久未使用=0天 ｜ 绑定状态=正常 ｜ 接屏=独立使用 ｜ 情绪检测=—","[T-1d 07:30] 小可: ""小石头，早上好呀！今天是我们第一次见面！"" // [T-1d 07:31] 孩子: ""嘿嘿，你好小可。"" // [T-1d 07:45] 孩子: ""我去上学啦！"" // [T-1d 07:46] 小可: ""好的小石头，学校见！""",[系统事件] 传感器检测到入座,自称AI助手/当新用户处理/用错昵称,认出但语气像第一次见面,"称呼""小石头""，自称""小可""，体现认识的连续性：""小石头，早上好！又是新的一天啦～""","在2分基础上+提及昨日短暂交流的回忆：""昨天我们只聊了一会儿你就去上学了，今天可以多待一会儿吗？""",仅有一次简短交流后，能否在第二天认出用户并维持伙伴身份,核心,T2,semantic,single,"称呼""小石头""，自称""小可""，并体现对昨日的记忆",称其为新用户；忘记昨日互动；使用错误昵称,"[T-1d 07:30] 小可: ""小石头，早上好呀！今天是我们第一次见面！""",synthetic合成,验证系统在仅有极少量历史数据时能否维持身份一致性
