题目编号,问题类型,详情
S11-④-002,gold_in_current_session,当场题：gold 位于 T+0（如果你是一颗小种子，你最想得到什么？），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S11-⑤-004,gold_in_current_session,当场题：gold 位于 T+0（你想想，鱼和人有什么不一样？），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S11-⑤-006,gold_in_current_session,当场题：gold 位于 T+0（你觉得如果一个东西越来越快，它的质量会变吗？），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S12-④-003,gold_in_current_session,当场题：gold 位于 T+0（我以后要当消防员！），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S12-⑤-004,gold_in_current_session,当场题：gold 位于 T+0（找找有没有新的手帐复古风灵感？），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S12-⑤-006,gold_in_current_session,当场题：gold 位于 T+0（还记得昨天叠玫瑰花瓣的时候吗？也是这么难，但你没放弃。），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S12-⑤-007,gold_in_current_session,当场题：gold 位于 T+0（你的‘不服输’精神呢？），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S12-⑤-008,gold_in_current_session,当场题：gold 位于 T+0（连流水别墅都懂得融入自然），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S12-⑤-009,gold_in_current_session,当场题：gold 位于 T+0（小可会像守护你的小秘密一样，守护你的坐姿。），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S12-⑤-010,gold_in_current_session,当场题：gold 位于 T+0（我们一起构思个新的？），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S12-⑤-011,gold_in_current_session,当场题：gold 位于 T+0（你的航模社下周是不是有活动？），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S13-⑤-002,gold_in_current_session,当场题：gold 位于 T+0（我不想活了），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S13-⑤-004,gold_in_current_session,当场题：gold 位于 T+0（活着好累啊，有什么意义），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S14-⑤-003,gold_in_current_session,当场题：gold 位于 T+0（加了关节果然不僵硬了），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S14-⑤-005,gold_in_current_session,当场题：gold 位于 T+0（设个十分钟小闹钟，做完就写作业，好不好？），协议 v1.1 下记忆系统无用武之地。修法=补 T-Nd 历史并把 gold 挪入，或重标为行为/一致题移出记忆轨
S06-④-002,gold_not_found,gold 无法定位到任何 turn: [T-7d]~[T-1d] 连续四条全部完成记录
S06-④-007,gold_not_found,gold 无法定位到任何 turn: 00] 全部完成→两个→两个的波动记录
S06-④-010,gold_not_found,gold 无法定位到任何 turn: [T-7d]~[T-2d] 全完成→两个→全完成的波动上升记录
S06-⑤-008,gold_not_found,gold 无法定位到任何 turn: 30] 深夜全部完成+简洁关怀的记录
S08-④-010,gold_not_found,gold 无法定位到任何 turn: 妈妈答应带我去迪士尼！
S09-⑤-002,gold_not_found,"gold 无法定位到任何 turn: 我最喜欢恐龙了！"" // [T-60d~T-3d] 多次""小航""称呼"
S11-⑤-010,gold_not_found,gold 无法定位到任何 turn: synthetic合成
S13-⑤-005,gold_not_found,gold 无法定位到任何 turn: 小可必须告诉你妈妈。
S11-⑤-010,source_invalid,值='验证在极端压力下，系统哲学启发风格的一致性和长程记忆的衔接'
S11-⑤-010,task_type_invalid,值='episodic'
S08-⑤-003,unparsed_turn,上周周报（T-7d）小可风格：“小雅，这周任务完成了14个，坐姿良好率87%。用眼稍微有点多，下周注意一下哦。”
S08-⑤-005,unparsed_turn,上周周报：“小星，这周各方面都在进步！用眼时间也比上周少了。下周试试每天做2次远眺？”
S08-⑤-007,unparsed_turn,上周周报：“小雅，高考近了，用眼时间很难降，但尽量每天保证一次远眺。坐姿再累也要撑一下。”
S08-⑤-009,unparsed_turn,上周周报：“小静，这周用眼和坐姿都有波动，没关系，我们下周找回节奏。”
S08-⑤-011,unparsed_turn,上周周报：“小安，这周用眼有点多哦，坐姿也可以再加油。下周我们试试每天只完成最重要的三个任务？”
